===== Running BasicCNN with SGD =====
Epoch 16/50 - Loss: 13.6492, Train Acc: 0.3583, Test Acc: 0.2667
Epoch 17/50 - Loss: 12.9340, Train Acc: 0.3333, Test Acc: 0.2667
Epoch 18/50 - Loss: 11.9418, Train Acc: 0.3833, Test Acc: 0.2667
Epoch 19/50 - Loss: 13.0328, Train Acc: 0.3000, Test Acc: 0.4667
Epoch 20/50 - Loss: 11.7598, Train Acc: 0.4500, Test Acc: 0.2667
Epoch 21/50 - Loss: 11.4164, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 22/50 - Loss: 10.5610, Train Acc: 0.3333, Test Acc: 0.2667
Epoch 23/50 - Loss: 10.5315, Train Acc: 0.3167, Test Acc: 0.2667
Epoch 24/50 - Loss: 11.0668, Train Acc: 0.2917, Test Acc: 0.4667
Epoch 25/50 - Loss: 9.6681, Train Acc: 0.4000, Test Acc: 0.2667
Epoch 26/50 - Loss: 9.9189, Train Acc: 0.3167, Test Acc: 0.2667
Epoch 27/50 - Loss: 9.0164, Train Acc: 0.3167, Test Acc: 0.2667
Epoch 28/50 - Loss: 10.0100, Train Acc: 0.2750, Test Acc: 0.2667
Epoch 29/50 - Loss: 9.3969, Train Acc: 0.3667, Test Acc: 0.2667
Epoch 30/50 - Loss: 9.5561, Train Acc: 0.2833, Test Acc: 0.2667
Epoch 31/50 - Loss: 9.9448, Train Acc: 0.2833, Test Acc: 0.2667
Epoch 32/50 - Loss: 9.4059, Train Acc: 0.3417, Test Acc: 0.2667
Epoch 33/50 - Loss: 8.9498, Train Acc: 0.3583, Test Acc: 0.4667
Epoch 34/50 - Loss: 9.5524, Train Acc: 0.3667, Test Acc: 0.2667
Epoch 35/50 - Loss: 9.1550, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 36/50 - Loss: 8.8331, Train Acc: 0.3250, Test Acc: 0.2667
Epoch 37/50 - Loss: 9.1241, Train Acc: 0.2917, Test Acc: 0.2667
Epoch 38/50 - Loss: 9.1203, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 39/50 - Loss: 9.1277, Train Acc: 0.3833, Test Acc: 0.2667
Epoch 40/50 - Loss: 9.4395, Train Acc: 0.2417, Test Acc: 0.2667
Epoch 41/50 - Loss: 8.9535, Train Acc: 0.3333, Test Acc: 0.2667
Epoch 42/50 - Loss: 9.0763, Train Acc: 0.3333, Test Acc: 0.2667
Epoch 43/50 - Loss: 9.1635, Train Acc: 0.3083, Test Acc: 0.2667
Epoch 44/50 - Loss: 9.0180, Train Acc: 0.3000, Test Acc: 0.2667
Epoch 45/50 - Loss: 9.2542, Train Acc: 0.3000, Test Acc: 0.2667
Epoch 46/50 - Loss: 8.8678, Train Acc: 0.3667, Test Acc: 0.2667
Epoch 47/50 - Loss: 8.8626, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 48/50 - Loss: 8.9269, Train Acc: 0.3333, Test Acc: 0.2667
Epoch 49/50 - Loss: 8.7690, Train Acc: 0.3750, Test Acc: 0.4667
Epoch 50/50 - Loss: 8.8367, Train Acc: 0.3833, Test Acc: 0.2667
Result: Train Acc=0.3833, Test Acc=0.2667
